Subject,Start Date,Start Time,End Time,All Day Event,Description,Location
🔴 HOY EN VIVO: Hipotiroidismo P2 (Vecino),06/08/2026,09:00 AM,09:30 AM,FALSE,"HISTORIA EN VIVO — HOY a las 21 hs EN VIVO por Telegram: ''Hipotiroidismo — Parte 2'' con Carolina Vecino. Subí una historia con sticker de cuenta regresiva + link de suscripción. Copy: ''🔴 HOY EN VIVO 21 hs | Hipotiroidismo Parte 2 con Carolina Vecino. Diagnóstico, interpretación de laboratorio y manejo terapéutico en pequeños animales. ¿Te la vas a perder? Suscribite y entrá al vivo por Telegram. Después queda grabada 🎥 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #medicinaveterinaria #endocrinologiaveterinaria #pequeñosanimales #hipotiroidismo #canalveterinario",Instagram
🎥 YA GRABADA: Hipotiroidismo P2 (Vecino),06/10/2026,09:00 AM,09:30 AM,FALSE,"POST (carrusel/placa) — La charla en vivo ya quedó grabada en la plataforma. Copy: ''¿Te perdiste el vivo de Hipotiroidismo Parte 2 con Carolina Vecino? 🎥 Ya está grabada en Canal Veterinario. Mirala cuando quieras, las veces que quieras. Diagnóstico, interpretación de T4/TSH y manejo terapéutico paso a paso. Suscribite y accedé ahora 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #medicinaveterinaria #endocrinologiaveterinaria #pequeñosanimales #hipotiroidismo #canalveterinario",Instagram
📢 ANUNCIO: Charla Gingivoestomatitis felina (Luka),06/12/2026,09:00 AM,09:30 AM,FALSE,"REEL o CARRUSEL de anuncio (Save the date) — Presentar disertante y tema. Copy: ''📆 SAVE THE DATE | Lunes 15/6 EN VIVO: ''Gingivoestomatitis crónica felina y Calicivirus — Tratamientos Parte 2'' con Natalia Luka. 🐱 Una de las patologías felinas más desafiantes de la clínica diaria: abordajes terapéuticos actualizados. Charla en vivo por Telegram, después queda grabada. 👉 Suscribite para no perdértela en vivo: canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #medicinaveterinaria #felinos #odontologiaveterinaria #gingivoestomatitis #calicivirus #canalveterinario",Instagram
⏰ MAÑANA EN VIVO: Gingivoestomatitis felina (Luka),06/14/2026,09:00 AM,09:30 AM,FALSE,"HISTORIA recordatorio (cuenta regresiva) — Copy: ''⏰ MAÑANA EN VIVO | Lunes 15/6 21 hs: Gingivoestomatitis crónica felina y Calicivirus (Tratamientos Parte 2) con Natalia Luka 🐱 ¿Ya estás suscripto? Activá el recordatorio. Suscribite y sumate al vivo por Telegram 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #felinos #odontologiaveterinaria #canalveterinario",Instagram
🔴 HOY EN VIVO: Gingivoestomatitis felina (Luka),06/15/2026,09:00 AM,09:30 AM,FALSE,"HISTORIA EN VIVO — sticker de recordatorio + link. Copy: ''🔴 HOY EN VIVO 21 hs | Gingivoestomatitis crónica felina y Calicivirus — Tratamientos Parte 2 con Natalia Luka 🐱 Última oportunidad de verla en directo y hacer tus preguntas. Suscribite y entrá por Telegram 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #felinos #gingivoestomatitis #calicivirus #canalveterinario",Instagram
📢 ANUNCIO: Charla Histopatología (Caverzan),06/15/2026,10:00 AM,10:30 AM,FALSE,"REEL o CARRUSEL de anuncio (Save the date) — Copy: ''📆 SAVE THE DATE | Miércoles 17/6 EN VIVO: ''Histopatología veterinaria: el puente entre la clínica y el diagnóstico definitivo'' con Matías Caverzan 🔬 Cómo la histopatología transforma una sospecha clínica en un diagnóstico certero. Charla en vivo por Telegram, después queda grabada. 👉 Suscribite para no perdértela en vivo: canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #medicinaveterinaria #histopatologiaveterinaria #patologiaveterinaria #diagnosticoveterinario #pequeñosanimales #canalveterinario",Instagram
🔴 HOY EN VIVO: Histopatología (Caverzan),06/17/2026,09:00 AM,09:30 AM,FALSE,"HISTORIA EN VIVO — sticker de recordatorio + link. Copy: ''🔴 HOY EN VIVO 21 hs | Histopatología veterinaria: el puente entre la clínica y el diagnóstico definitivo, con Matías Caverzan 🔬 El vivo es HOY. Suscribite y entrá por Telegram para verla en directo 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #histopatologiaveterinaria #patologiaveterinaria #canalveterinario",Instagram
🎥 YA GRABADA: Histopatología (Caverzan),06/19/2026,09:00 AM,09:30 AM,FALSE,"POST (placa/carrusel) — Copy: ''¿Te la perdiste en vivo? 🔬 ''Histopatología veterinaria: el puente entre la clínica y el diagnóstico definitivo'' con Matías Caverzan ya está GRABADA en Canal Veterinario. Mirala cuando quieras. El nexo entre lo que ves en la consulta y el diagnóstico definitivo. Suscribite y accedé 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #medicinaveterinaria #histopatologiaveterinaria #patologiaveterinaria #diagnosticoveterinario #canalveterinario",Instagram
🤝 COMUNIDAD: Encuesta felinos vs caninos,06/20/2026,09:00 AM,09:30 AM,FALSE,"POST/HISTORIA de comunidad (encuesta) — Copy: ''Contanos 🐾 ¿Qué tipo de paciente atendés más en tu día a día? A) Caninos B) Felinos C) Mixto D) Equinos / grandes animales 👇 Tu respuesta nos ayuda a elegir las próximas charlas en vivo. Compartí con un colega.'' #veterinaria #vetargentina #capacitacionveterinaria #medicinaveterinaria #comunidadveterinaria #canalveterinario",Instagram
📢 ANUNCIO: Charla Biomecánica equina (Iranzo),06/20/2026,10:00 AM,10:30 AM,FALSE,"REEL o CARRUSEL de anuncio (Save the date) — Copy: ''📆 SAVE THE DATE | Lunes 22/6 EN VIVO: ''Biomecánica aplicada a las fases del paso en caballos — Parte 1'' con el Vet. José Adrián Iranzo 🐴 Entender la biomecánica del paso para mejorar tu evaluación locomotora del equino. Charla en vivo por Telegram, después queda grabada. 👉 Suscribite para no perdértela en vivo: canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #medicinaveterinaria #equinos #medicinaequina #biomecanica #caballos #canalveterinario",Instagram
🔴 HOY EN VIVO: Biomecánica equina (Iranzo),06/22/2026,09:00 AM,09:30 AM,FALSE,"HISTORIA EN VIVO — sticker de recordatorio + link. Copy: ''🔴 HOY EN VIVO 21 hs | Biomecánica aplicada a las fases del paso en caballos (Parte 1) con el Vet. José Adrián Iranzo 🐴 El vivo es HOY. Suscribite y entrá por Telegram 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #equinos #medicinaequina #biomecanica #canalveterinario",Instagram
🎥 YA GRABADA: Biomecánica equina (Iranzo),06/24/2026,09:00 AM,09:30 AM,FALSE,"POST (placa/carrusel) — Copy: ''¿Te la perdiste en vivo? 🐴 ''Biomecánica aplicada a las fases del paso en caballos — Parte 1'' con el Vet. José Adrián Iranzo ya está GRABADA en Canal Veterinario. Mirala cuando quieras y preparate para la Parte 2. Suscribite y accedé 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #medicinaveterinaria #equinos #medicinaequina #biomecanica #caballos #canalveterinario",Instagram
📢 ANUNCIO: Charla Técnica quirúrgica aséptica (Castro),06/22/2026,10:00 AM,10:30 AM,FALSE,"REEL o CARRUSEL de anuncio (Save the date) — Copy: ''📆 SAVE THE DATE | Miércoles 24/6 EN VIVO: ''Técnica quirúrgica aséptica: Asepsia y antisepsia'' con Georgina Soledad Castro 🧤 Los fundamentos que separan una cirugía segura de una complicación evitable. Charla en vivo por Telegram, después queda grabada. 👉 Suscribite para no perdértela en vivo: canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #medicinaveterinaria #cirugiaveterinaria #asepsia #antisepsia #pequeñosanimales #canalveterinario",Instagram
🔴 HOY EN VIVO: Técnica quirúrgica aséptica (Castro),06/24/2026,11:00 AM,11:30 AM,FALSE,"HISTORIA EN VIVO — sticker de recordatorio + link. Copy: ''🔴 HOY EN VIVO 21 hs | Técnica quirúrgica aséptica: Asepsia y antisepsia con Georgina Soledad Castro 🧤 El vivo es HOY. Suscribite y entrá por Telegram para verla en directo 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #cirugiaveterinaria #asepsia #antisepsia #canalveterinario",Instagram
🎥 YA GRABADA: Técnica quirúrgica aséptica (Castro),06/26/2026,09:00 AM,09:30 AM,FALSE,"POST (placa/carrusel) — Copy: ''¿Te la perdiste en vivo? 🧤 ''Técnica quirúrgica aséptica: Asepsia y antisepsia'' con Georgina Soledad Castro ya está GRABADA en Canal Veterinario. Repasá los fundamentos de la cirugía segura cuando quieras. Suscribite y accedé 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #medicinaveterinaria #cirugiaveterinaria #asepsia #antisepsia #pequeñosanimales #canalveterinario",Instagram
📢 ANUNCIO: Charla Mastectomía (Barón),06/26/2026,10:00 AM,10:30 AM,FALSE,"REEL o CARRUSEL de anuncio (Save the date) — Copy: ''📆 SAVE THE DATE | Lunes 29/6 EN VIVO: ''Mastectomía: Errores más frecuentes y conceptos quirúrgicos de resolución'' con Damián Barón 🔪 Qué evitar y cómo resolver las complicaciones quirúrgicas más comunes de la mastectomía. Charla en vivo por Telegram, después queda grabada. 👉 Suscribite para no perdértela en vivo: canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #medicinaveterinaria #cirugiaveterinaria #mastectomia #oncologiaveterinaria #pequeñosanimales #canalveterinario",Instagram
⏰ MAÑANA EN VIVO: Mastectomía (Barón),06/28/2026,09:00 AM,09:30 AM,FALSE,"HISTORIA recordatorio (cuenta regresiva) — Copy: ''⏰ MAÑANA EN VIVO | Lunes 29/6 21 hs: Mastectomía: Errores más frecuentes y conceptos quirúrgicos de resolución, con Damián Barón 🔪 Activá el recordatorio. Suscribite y sumate al vivo por Telegram 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #cirugiaveterinaria #mastectomia #canalveterinario",Instagram
🔴 HOY EN VIVO: Mastectomía (Barón),06/29/2026,09:00 AM,09:30 AM,FALSE,"HISTORIA EN VIVO — sticker de recordatorio + link. Copy: ''🔴 HOY EN VIVO 21 hs | Mastectomía: Errores más frecuentes y conceptos quirúrgicos de resolución, con Damián Barón 🔪 El vivo es HOY. Suscribite y entrá por Telegram 👉 canal-veterinario-live.web.app'' #veterinaria #capacitacionveterinaria #vetargentina #cirugiaveterinaria #mastectomia #oncologiaveterinaria #canalveterinario",Instagram
